unit	tank	cane	box	max_box_row	max_box_col	max_box_size
V & I SAMPLE DATABASE	DEFAULT	DEFAULT	DEFAULT	10	10	100
TARANTAL LAB DATABASE	DEFAULT	DEFAULT	DEFAULT	10	10	100
PDL SAMPLE DATABASE	LN2 2	DEFAULT	DEFAULT	6	1	6
PDL SAMPLE DATABASE	LN2 1	DEFAULT	DEFAULT	6	1	6
PDL SAMPLE DATABASE	LN2 3	DEFAULT	DEFAULT	6	1	6
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SRV3 CULTURE SUPE	10	10	100
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SRV4 CULTURE SUPE	10	10	100
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SFVHU6 SUPE FROM CDC	8	8	64
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SFVHU6 CDC SUPE	8	8	64
RESPIRATORY DISEASES	DEFAULT	DEFAULT	DEFAULT	10	10	100
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	CONICAL	1	1	1
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SRV NEUT. STOCKS	10	10	100
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	DEFAULT	9	9	81
RESPIRATORY DISEASES	CRYOTANK 1	DEFAULT	DEFAULT	5	5	25
RESPIRATORY DISEASES	CRYOTANK 2	DEFAULT	DEFAULT	5	5	25
RESPIRATORY DISEASES	CRYOTANK 3	DEFAULT	DEFAULT	5	5	25
PDL SAMPLE DATABASE	DEFAULT	DEFAULT	SFVHU6 CDC SUPE	7	7	49
TEST FREEZERDB	DEFAULT	DEFAULT	DEFAULT	10	10	100